iter	RMSE
0	4514.367988
1	4396.075004
2	4282.98311
3	4174.79939
4	4070.675726
5	3970.920809
6	3875.923586
7	3784.241284
8	3696.437782
9	3612.433327
10	3531.40536
11	3454.365128
12	3379.874348
13	3308.528335
14	3240.498263
15	3175.554207
16	3112.776394
17	3051.982649
18	2995.320038
19	2940.916756
20	2888.492392
21	2837.334694
22	2789.066325
23	2742.431923
24	2698.95566
25	2656.632764
26	2616.598576
27	2578.704812
28	2540.404783
29	2505.028012
30	2471.561509
31	2439.585523
32	2406.799528
33	2376.121155
34	2346.670074
35	2319.433463
36	2293.262063
37	2269.22217
38	2246.219365
39	2223.566147
40	2200.674869
41	2179.505174
42	2159.562467
43	2140.257168
44	2121.547511
45	2104.047802
46	2086.929407
47	2071.11392
48	2055.653759
49	2041.098351
50	2027.598942
51	2014.362224
52	2001.878249
53	1988.623102
54	1976.219943
55	1965.478306
56	1955.237736
57	1944.652683
58	1934.70688
59	1925.637791
60	1916.664334
61	1908.04099
62	1899.45199
63	1890.718812
64	1883.376807
65	1875.910956
66	1868.396882
67	1861.723418
68	1855.216236
69	1848.87712
70	1842.630572
71	1836.726428
72	1831.657298
73	1826.183965
74	1821.162338
75	1815.852315
76	1810.846995
77	1805.98108
78	1800.9377
79	1796.942546
80	1792.324152
81	1787.883469
82	1784.443568
83	1780.848414
84	1777.554973
85	1774.227948
86	1770.687181
87	1767.446585
88	1764.674174
89	1761.606998
90	1758.252177
91	1755.312494
92	1752.125294
93	1749.412717
94	1746.313033
95	1744.043953
96	1740.672972
97	1738.377742
98	1736.148705
99	1734.111781
100	1731.893049
101	1730.078868
102	1727.809192
103	1725.830286
104	1722.971544
105	1721.407931
106	1719.63233
107	1717.828425
108	1716.340183
109	1714.550204
110	1712.298378
111	1710.65449
112	1708.5551
113	1706.997717
114	1705.627314
115	1703.67764
116	1702.180229
117	1700.236749
118	1698.463759
119	1697.130917
120	1695.779921
121	1694.265236
122	1693.032506
123	1691.498037
124	1689.777832
125	1688.193271
126	1687.017392
127	1685.510378
128	1683.971813
129	1682.532348
130	1681.549204
131	1680.592075
